TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance
TX000001,AC00128,14.09,11-04-2023 16:29:00,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21
TX000002,AC00455,376.24,27-06-2023 16:44:00,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91
TX000003,AC00019,126.29,10-07-2023 18:16:00,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35
TX000004,AC00070,184.5,05-05-2023 16:32:00,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06
TX000005,AC00411,13.45,16-10-2023 17:51:00,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4
TX000006,AC00393,92.15,03-04-2023 17:15:00,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68
TX000007,AC00199,7.08,15-02-2023 16:36:00,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71
TX000008,AC00069,171.42,08-05-2023 17:47:00,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24
TX000009,AC00135,106.23,21-03-2023 16:59:00,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14
TX000010,AC00385,815.96,31-03-2023 16:06:00,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88
TX000011,AC00150,17.78,14-03-2023 16:46:00,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52
TX000012,AC00459,190.02,06-02-2023 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81
TX000013,AC00392,494.52,07-06-2023 17:21:00,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02
TX000014,AC00264,781.76,20-11-2023 16:39:00,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69
TX000015,AC00085,166.99,13-02-2023 16:53:00,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93
TX000016,AC00270,465.45,12-12-2023 16:23:00,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54
TX000017,AC00317,555.8,30-10-2023 16:52:00,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26
TX000018,AC00359,492.93,14-12-2023 18:32:00,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97
TX000019,AC00242,18.68,21-02-2023 16:56:00,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37
TX000020,AC00285,71.48,08-06-2023 18:18:00,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59
TX000021,AC00002,59.32,28-02-2023 16:36:00,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89
TX000022,AC00014,85.77,11-08-2023 18:31:00,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19
TX000023,AC00095,52.2,06-06-2023 18:54:00,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93
TX000024,AC00453,345.84,02-05-2023 18:25:00,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5
TX000025,AC00241,145.54,02-03-2023 16:43:00,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96
TX000026,AC00041,7.49,20-10-2023 17:53:00,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67
TX000027,AC00441,246.93,17-04-2023 16:37:00,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35
TX000028,AC00057,40.32,29-03-2023 16:42:00,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52
TX000029,AC00390,127.45,24-01-2023 16:18:00,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06
TX000030,AC00313,56.17,20-09-2023 16:55:00,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69
TX000031,AC00367,28.31,17-07-2023 17:49:00,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47
TX000032,AC00291,59.12,06-02-2023 16:24:00,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64
